Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
El Encanto,6,0.527%,5,0.439%,1,0.088%
La Chorrera,2,0.142%,0,0%,2,0.142%
La Pedrera,3,0.143%,1,0.048%,2,0.095%
La Victoria,0,0%,0,0%,0,0%
Leticia,183,1.039%,53,0.301%,130,0.738%
Mirití - Paraná,0,0%,0,0%,0,0%
Puerto Alegría,0,0%,0,0%,0,0%
Puerto Arica,0,0%,0,0%,0,0%
Puerto Nariño,4,0.102%,2,0.051%,2,0.051%
Puerto Santander,2,0.263%,0,0%,2,0.263%
Tarapacá,1,0.059%,1,0.059%,0,0%
