Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Abejorral,16,0.413%,6,0.155%,10,0.258%
Abriaquí,0,0%,0,0%,0,0%
Alejandría,2,0.208%,0,0%,2,0.208%
Amagá,33,0.592%,7,0.126%,26,0.466%
Amalfi,50,0.873%,14,0.245%,36,0.628%
Andes,71,0.833%,11,0.129%,60,0.704%
Angelópolis,7,0.714%,1,0.102%,6,0.612%
Angostura,20,0.754%,4,0.151%,16,0.603%
Anorí,48,0.925%,15,0.289%,33,0.636%
Anzá,8,0.475%,3,0.178%,5,0.297%
Apartadó,230,0.728%,64,0.203%,166,0.525%
Arboletes,45,0.526%,8,0.094%,37,0.432%
Argelia,6,0.304%,3,0.152%,3,0.152%
Armenia,3,0.482%,2,0.321%,1,0.161%
Barbosa,52,0.57%,8,0.088%,44,0.482%
Bello,498,0.463%,136,0.127%,362,0.336%
Belmira,6,0.413%,0,0%,6,0.413%
Betania,12,0.545%,1,0.046%,11,0.499%
Betulia,20,0.475%,2,0.048%,18,0.427%
Briceño,5,0.281%,0,0%,5,0.281%
Buriticá,17,0.669%,3,0.118%,14,0.551%
Cáceres,7,0.356%,1,0.051%,6,0.305%
Caicedo,99,0.703%,26,0.185%,73,0.518%
Caldas,8,0.294%,2,0.074%,6,0.22%
Campamento,5,0.632%,2,0.253%,3,0.379%
Cañasgordas,6,0.708%,1,0.118%,5,0.59%
Caracolí,99,0.643%,22,0.143%,77,0.5%
Caramanta,3,0.543%,1,0.181%,2,0.362%
Carepa,274,1.014%,49,0.182%,225,0.832%
Carolina,20,0.633%,3,0.095%,17,0.538%
Caucasia,139,0.784%,35,0.198%,104,0.586%
Chigorodó,11,0.526%,1,0.048%,10,0.478%
Cisneros,56,1.059%,8,0.152%,48,0.907%
Ciudad Bolívar,18,0.459%,5,0.128%,13,0.331%
Cocorná,1,0.111%,0,0%,1,0.111%
Concepción,24,0.715%,2,0.06%,22,0.655%
Concordia,71,0.472%,16,0.107%,55,0.365%
Copacabana,63,0.634%,15,0.151%,48,0.483%
Dabeiba,44,0.5%,12,0.137%,32,0.363%
Donmatías,27,0.805%,6,0.179%,21,0.626%
Ebéjico,10,0.45%,0,0%,10,0.45%
El Bagre,137,0.727%,31,0.165%,106,0.562%
El Carmen De Viboral,61,0.444%,16,0.117%,45,0.327%
El Santuario,65,0.737%,20,0.227%,45,0.51%
Entrerríos,7,0.307%,3,0.132%,4,0.175%
Envigado,128,0.388%,28,0.085%,100,0.303%
Fredonia,23,0.681%,5,0.148%,18,0.533%
Frontino,32,0.467%,10,0.146%,22,0.321%
Giraldo,9,0.625%,2,0.139%,7,0.486%
Girardota,47,0.47%,15,0.15%,32,0.32%
Gómez Plata,11,0.41%,2,0.075%,9,0.335%
Granada,4,0.308%,1,0.077%,3,0.231%
Guadalupe,59,0.677%,14,0.161%,45,0.516%
Guarne,9,0.572%,1,0.064%,8,0.508%
Guatapé,5,0.346%,0,0%,5,0.346%
Heliconia,4,0.516%,0,0%,4,0.516%
Hispania,4,0.336%,1,0.084%,3,0.252%
Itagüí,228,0.468%,64,0.132%,164,0.336%
Ituango,21,0.37%,3,0.053%,18,0.317%
Jardín,27,0.929%,5,0.172%,22,0.757%
Jericó,11,0.543%,1,0.05%,10,0.493%
La Ceja,72,0.561%,24,0.187%,48,0.374%
