Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Baranoa,87,0.476%,23,0.126%,64,0.35%
Barranquilla,"2,944",1.013%,780,0.269%,"2,164",0.744%
Campo De La Cruz,27,0.351%,10,0.13%,17,0.221%
Candelaria,12,0.219%,3,0.055%,9,0.164%
Galapa,67,0.352%,23,0.121%,44,0.231%
Juan De Acosta,26,0.457%,6,0.106%,20,0.351%
Luruaco,42,0.44%,19,0.199%,23,0.241%
Malambo,174,0.447%,50,0.129%,124,0.318%
Manatí,16,0.226%,3,0.043%,13,0.183%
Palmar De Varela,29,0.358%,9,0.111%,20,0.247%
Piojó,3,0.174%,1,0.058%,2,0.116%
Polonuevo,25,0.484%,6,0.116%,19,0.368%
Ponedera,20,0.246%,2,0.025%,18,0.221%
Puerto Colombia,83,0.589%,18,0.128%,65,0.461%
Repelón,22,0.256%,5,0.058%,17,0.198%
Sabanagrande,35,0.353%,9,0.091%,26,0.262%
Sabanalarga,153,0.533%,47,0.164%,106,0.369%
Santa Lucía,9,0.207%,2,0.046%,7,0.161%
Santo Tomás,31,0.386%,16,0.199%,15,0.187%
Soledad,889,0.563%,228,0.145%,661,0.418%
Suan,6,0.152%,2,0.051%,4,0.101%
Tubará,10,0.266%,1,0.027%,9,0.239%
Usiacurí,7,0.269%,1,0.039%,6,0.23%
