Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Aguadas,30,0.656%,3,0.066%,27,0.59%
Anserma,33,0.494%,8,0.12%,25,0.374%
Aranzazu,20,0.896%,6,0.269%,14,0.627%
Belalcázar,15,0.62%,6,0.248%,9,0.372%
Chinchiná,82,0.814%,19,0.189%,63,0.625%
Filadelfia,7,0.369%,0,0%,7,0.369%
La Dorada,160,0.886%,33,0.183%,127,0.703%
La Merced,5,0.483%,0,0%,5,0.483%
Manizales,345,0.455%,80,0.106%,265,0.349%
Manzanares,15,0.392%,3,0.079%,12,0.313%
Marmato,11,0.458%,2,0.084%,9,0.374%
Marquetalia,21,0.706%,3,0.101%,18,0.605%
Marulanda,2,0.476%,1,0.238%,1,0.238%
Neira,21,0.485%,6,0.139%,15,0.346%
Norcasia,13,0.784%,2,0.121%,11,0.663%
Pácora,34,1.23%,8,0.29%,26,0.94%
Palestina,17,0.439%,6,0.155%,11,0.284%
Pensilvania,10,0.402%,3,0.121%,7,0.281%
Riosucio,86,0.699%,18,0.147%,68,0.552%
Risaralda,9,0.405%,2,0.09%,7,0.315%
Salamina,15,0.423%,4,0.113%,11,0.31%
Samaná,16,0.356%,4,0.089%,12,0.267%
San José,3,0.339%,0,0%,3,0.339%
Supía,41,0.631%,10,0.154%,31,0.477%
Victoria,10,0.5%,5,0.25%,5,0.25%
Villamaría,46,0.31%,11,0.074%,35,0.236%
Viterbo,27,1.02%,5,0.189%,22,0.831%
