Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Albania,5,0.383%,1,0.077%,4,0.306%
Belén De Los Andaquíes,13,0.432%,7,0.233%,6,0.199%
Cartagena Del Chairá,56,0.476%,13,0.111%,43,0.365%
Curillo,15,0.576%,2,0.077%,13,0.499%
El Doncello,31,0.589%,14,0.266%,17,0.323%
El Paujíl,20,0.48%,5,0.12%,15,0.36%
Florencia,386,0.83%,90,0.194%,296,0.636%
La Montañita,16,0.388%,3,0.073%,13,0.315%
Milán,9,0.285%,3,0.095%,6,0.19%
Morelia,11,1.092%,0,0%,11,1.092%
Puerto Rico,34,0.358%,9,0.095%,25,0.263%
San José Del Fragua,38,0.846%,10,0.223%,28,0.623%
San Vicente Del Caguán,125,0.838%,34,0.228%,91,0.61%
Solano,8,0.205%,1,0.026%,7,0.179%
Solita,7,0.398%,3,0.171%,4,0.227%
Valparaíso,4,0.195%,1,0.049%,3,0.146%
