Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Aguazul,56,0.549%,17,0.167%,39,0.382%
Chámeza,0,0%,0,0%,0,0%
Hato Corozal,11,0.242%,6,0.132%,5,0.11%
La Salina,0,0%,0,0%,0,0%
Maní,28,0.632%,7,0.158%,21,0.474%
Monterrey,27,0.597%,4,0.089%,23,0.508%
Nunchía,5,0.195%,2,0.078%,3,0.117%
Orocué,18,0.578%,1,0.033%,17,0.545%
Paz De Ariporo,56,0.457%,17,0.139%,39,0.318%
Pore,22,0.532%,4,0.097%,18,0.435%
Recetor,0,0%,0,0%,0,0%
Sabanalarga,3,0.354%,1,0.118%,2,0.236%
Sácama,16,0.655%,2,0.082%,14,0.573%
San Luis De Palenque,1,0.185%,1,0.185%,0,0%
Támara,51,0.7%,19,0.261%,32,0.439%
Tauramena,23,0.559%,4,0.098%,19,0.461%
Trinidad,5,0.223%,0,0%,5,0.223%
Villanueva,48,0.459%,10,0.096%,38,0.363%
Yopal,503,1.045%,124,0.258%,379,0.787%
