Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Acandí,26,0.539%,16,0.332%,10,0.207%
Alto Baudó,1,0.008%,0,0%,1,0.008%
Atrato,8,0.412%,4,0.206%,4,0.206%
Bagadó,2,0.038%,1,0.019%,1,0.019%
Bahía Solano,14,0.401%,5,0.143%,9,0.258%
Bajo Baudó,3,0.033%,2,0.022%,1,0.011%
Bojayá,4,0.063%,3,0.047%,1,0.016%
Carmen Del Darién,2,0.03%,1,0.015%,1,0.015%
Cértegui,21,0.487%,6,0.139%,15,0.348%
Condoto,2,0.134%,1,0.067%,1,0.067%
El Cantón Del San Pablo,3,0.126%,0,0%,3,0.126%
El Carmen De Atrato,14,0.506%,5,0.181%,9,0.325%
El Litoral Del San Juan,0,0%,0,0%,0,0%
Istmina,38,0.361%,15,0.143%,23,0.218%
Juradó,1,0.05%,0,0%,1,0.05%
Lloró,6,0.129%,4,0.086%,2,0.043%
Medio Atrato,1,0.024%,0,0%,1,0.024%
Medio Baudó,0,0%,0,0%,0,0%
Medio San Juan,2,0.056%,1,0.028%,1,0.028%
Nóvita,7,0.466%,1,0.067%,6,0.399%
Nuquí,3,0.09%,0,0%,3,0.09%
Quibdó,422,1.013%,114,0.274%,308,0.739%
Río Iró,26,0.13%,3,0.015%,23,0.115%
Río Quito,2,0.114%,0,0%,2,0.114%
Riosucio,3,0.084%,2,0.056%,1,0.028%
San José Del Palmar,7,0.363%,2,0.104%,5,0.259%
Sipí,2,0.166%,1,0.083%,1,0.083%
Tadó,34,0.523%,10,0.154%,24,0.369%
Unguía,12,0.228%,3,0.057%,9,0.171%
Unión Panamericana,5,0.21%,3,0.126%,2,0.084%
