Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Agua De Dios,16,0.778%,3,0.146%,13,0.632%
Albán,5,0.338%,0,0%,5,0.338%
Anapoima,13,0.468%,7,0.252%,6,0.216%
Anolaima,16,0.604%,4,0.151%,12,0.453%
Apulo,3,0.17%,1,0.057%,2,0.113%
Arbeláez,7,0.332%,0,0%,7,0.332%
Beltrán,1,0.24%,0,0%,1,0.24%
Bituima,1,0.21%,0,0%,1,0.21%
Bojacá,12,0.444%,4,0.148%,8,0.296%
Cabrera,4,0.302%,2,0.151%,2,0.151%
Cachipay,5,0.243%,1,0.049%,4,0.194%
Cajicá,81,0.358%,16,0.071%,65,0.287%
Caparrapí,6,0.297%,1,0.05%,5,0.247%
Cáqueza,3,0.15%,3,0.15%,0,0%
Carmen De Carupa,1,0.167%,0,0%,1,0.167%
Chaguaní,5,0.225%,1,0.045%,4,0.18%
Chía,5,0.21%,1,0.042%,4,0.168%
Chipaque,42,0.733%,10,0.175%,32,0.558%
Choachí,128,0.415%,31,0.101%,97,0.314%
Chocontá,18,0.324%,10,0.18%,8,0.144%
Cogua,29,0.318%,9,0.099%,20,0.219%
Cota,11,0.504%,0,0%,11,0.504%
Cucunubá,25,0.644%,6,0.155%,19,0.489%
El Colegio,22,0.426%,2,0.039%,20,0.387%
El Peñón,3,0.428%,2,0.285%,1,0.143%
El Rosal,24,0.346%,7,0.101%,17,0.245%
Facatativá,204,0.568%,52,0.145%,152,0.423%
Fómeque,6,0.399%,2,0.133%,4,0.266%
Fosca,123,0.505%,34,0.14%,89,0.365%
Funza,229,0.746%,49,0.16%,180,0.586%
Fúquene,10,0.374%,3,0.112%,7,0.262%
Fusagasugá,5,0.4%,0,0%,5,0.4%
Gachalá,5,0.584%,1,0.117%,4,0.467%
Gachancipá,17,0.338%,4,0.08%,13,0.258%
Gachetá,14,0.884%,3,0.19%,11,0.694%
Gama,2,0.302%,0,0%,2,0.302%
Girardot,243,1.233%,55,0.279%,188,0.954%
Granada,5,0.255%,3,0.153%,2,0.102%
Guachetá,35,0.866%,6,0.149%,29,0.717%
Guaduas,21,0.425%,3,0.061%,18,0.364%
Guasca,17,0.428%,5,0.126%,12,0.302%
Guataquí,1,0.255%,0,0%,1,0.255%
Guatavita,6,0.378%,3,0.189%,3,0.189%
Guayabal De Síquima,5,0.652%,5,0.652%,0,0%
Guayabetal,9,0.494%,3,0.165%,6,0.329%
Gutiérrez,1,0.115%,0,0%,1,0.115%
Jerusalén,4,0.956%,4,0.956%,0,0%
Junín,6,0.716%,2,0.239%,4,0.477%
La Calera,32,0.468%,7,0.103%,25,0.365%
La Mesa,59,0.911%,14,0.216%,45,0.695%
La Palma,4,0.27%,0,0%,4,0.27%
La Peña,2,0.202%,0,0%,2,0.202%
La Vega,14,0.455%,4,0.13%,10,0.325%
Lenguazaque,11,0.392%,3,0.107%,8,0.285%
Machetá,6,0.497%,2,0.166%,4,0.331%
Madrid,129,0.392%,44,0.134%,85,0.258%
Manta,0,0%,0,0%,0,0%
Medina,11,0.572%,1,0.052%,10,0.52%
Mosquera,136,0.359%,39,0.103%,97,0.256%
Nariño,4,0.821%,0,0%,4,0.821%
Nemocón,37,1.015%,11,0.302%,26,0.713%
Nilo,3,0.176%,1,0.059%,2,0.117%
Nimaima,0,0%,0,0%,0,0%
Nocaima,6,0.551%,1,0.092%,5,0.459%
Pacho,27,0.49%,14,0.254%,13,0.236%
Paime,0,0%,0,0%,0,0%
Pandi,1,0.095%,0,0%,1,0.095%
Paratebueno,10,0.378%,5,0.189%,5,0.189%
Pasca,4,0.196%,1,0.049%,3,0.147%
Puerto Salgar,22,0.582%,12,0.317%,10,0.265%
Pulí,1,0.2%,0,0%,1,0.2%
Quebradanegra,3,0.333%,2,0.222%,1,0.111%
Quetame,8,0.619%,1,0.078%,7,0.541%
Quipile,2,0.172%,0,0%,2,0.172%
Ricaurte,10,0.357%,3,0.107%,7,0.25%
San Antonio Del Tequendama,5,0.255%,1,0.051%,4,0.204%
San Bernardo,9,0.502%,1,0.056%,8,0.446%
San Cayetano,2,0.215%,0,0%,2,0.215%
San Francisco,7,0.306%,2,0.088%,5,0.218%
San Juan De Rioseco,11,0.678%,1,0.062%,10,0.616%
Sasaima,16,0.738%,5,0.231%,11,0.507%
Sesquilé,10,0.332%,1,0.034%,9,0.298%
Sibaté,57,0.641%,16,0.18%,41,0.461%
Silvania,26,0.528%,8,0.163%,18,0.365%
Simijaca,13,0.379%,3,0.088%,10,0.291%
Soacha,755,0.405%,216,0.116%,539,0.289%
Sopó,23,0.376%,4,0.066%,19,0.31%
Subachoque,13,0.355%,2,0.055%,11,0.3%
Suesca,18,0.429%,4,0.096%,14,0.333%
Supatá,1,0.094%,0,0%,1,0.094%
Susa,9,0.621%,0,0%,9,0.621%
Sutatausa,7,0.412%,5,0.294%,2,0.118%
Tabio,15,0.307%,4,0.082%,11,0.225%
Tausa,15,0.769%,4,0.205%,11,0.564%
Tena,5,0.269%,0,0%,5,0.269%
Tenjo,21,0.409%,4,0.078%,17,0.331%
