Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Albania,20,0.173%,6,0.052%,14,0.121%
Barrancas,54,0.521%,11,0.106%,43,0.415%
Dibulla,29,0.166%,11,0.063%,18,0.103%
Distracción,15,0.369%,3,0.074%,12,0.295%
El Molino,10,0.532%,3,0.16%,7,0.372%
Fonseca,100,0.652%,30,0.196%,70,0.456%
Hatonuevo,24,0.348%,6,0.087%,18,0.261%
La Jagua Del Pilar,1,0.1%,0,0%,1,0.1%
Maicao,728,1.07%,223,0.328%,505,0.742%
Manaure,26,0.067%,10,0.026%,16,0.041%
Riohacha,478,0.666%,143,0.199%,335,0.467%
San Juan Del Cesar,71,0.438%,20,0.124%,51,0.314%
Uribia,71,0.09%,34,0.043%,37,0.047%
Urumita,8,0.316%,4,0.158%,4,0.158%
Villanueva,28,0.344%,9,0.111%,19,0.233%
