Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Acacías,136,0.603%,34,0.151%,102,0.452%
Barranca De Upía,15,0.63%,2,0.084%,13,0.546%
Cabuyaro,5,0.27%,2,0.108%,3,0.162%
Castilla La Nueva,14,0.305%,3,0.066%,11,0.239%
Cubarral,11,0.583%,3,0.159%,8,0.424%
Cumaral,14,0.215%,3,0.046%,11,0.169%
El Calvario,1,0.216%,0,0%,1,0.216%
El Castillo,6,0.237%,4,0.158%,2,0.079%
El Dorado,11,0.915%,4,0.333%,7,0.582%
Fuente De Oro,19,0.541%,4,0.114%,15,0.427%
Granada,185,0.875%,48,0.227%,137,0.648%
Guamal,21,0.489%,4,0.093%,17,0.396%
La Macarena,21,0.188%,4,0.036%,17,0.152%
Lejanías,14,0.411%,6,0.176%,8,0.235%
Mapiripán,24,0.844%,9,0.317%,15,0.527%
Mesetas,17,0.478%,7,0.197%,10,0.281%
Puerto Concordia,14,0.446%,3,0.096%,11,0.35%
Puerto Gaitán,80,0.44%,30,0.165%,50,0.275%
Puerto Lleras,4,0.142%,2,0.071%,2,0.071%
Puerto López,60,0.672%,15,0.168%,45,0.504%
Puerto Rico,33,0.816%,7,0.173%,26,0.643%
Restrepo,20,0.374%,5,0.094%,15,0.28%
San Carlos De Guaroa,17,0.396%,4,0.093%,13,0.303%
San Juan De Arama,11,0.449%,4,0.163%,7,0.286%
San Juanito,2,0.612%,2,0.612%,0,0%
San Martín,40,0.585%,7,0.103%,33,0.482%
Uribe,6,0.206%,2,0.069%,4,0.137%
Villavicencio,"1,079",0.895%,310,0.257%,769,0.638%
Vistahermosa,44,0.752%,11,0.188%,33,0.564%
