Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Ábrego,9,0.393%,5,0.218%,4,0.175%
Arboledas,5,0.259%,0,0%,5,0.259%
Bochalema,4,0.243%,1,0.061%,3,0.182%
Bucarasica,15,0.354%,1,0.024%,14,0.33%
Cáchira,9,0.277%,0,0%,9,0.277%
Cácota,24,0.351%,3,0.044%,21,0.307%
Chinácota,4,0.203%,0,0%,4,0.203%
Chitagá,9,0.357%,1,0.04%,8,0.317%
Convención,2,0.053%,0,0%,2,0.053%
Cucutilla,3,0.278%,1,0.093%,2,0.185%
Durania,9,0.201%,1,0.023%,8,0.178%
El Carmen,22,0.259%,5,0.059%,17,0.2%
El Tarra,53,0.604%,14,0.16%,39,0.444%
El Zulia,6,0.4%,3,0.2%,3,0.2%
Gramalote,6,0.15%,2,0.05%,4,0.1%
Hacarí,0,0%,0,0%,0,0%
Herrán,5,0.125%,2,0.05%,3,0.075%
La Esperanza,9,0.354%,3,0.118%,6,0.236%
La Playa,5,0.33%,2,0.132%,3,0.198%
Labateca,106,0.48%,24,0.109%,82,0.371%
Los Patios,2,0.183%,0,0%,2,0.183%
Lourdes,2,0.185%,0,0%,2,0.185%
Mutiscua,238,0.752%,50,0.158%,188,0.594%
Ocaña,62,0.598%,15,0.145%,47,0.453%
Pamplona,6,0.467%,2,0.156%,4,0.311%
Pamplonita,74,2.723%,13,0.479%,61,2.244%
Puerto Santander,2,0.147%,0,0%,2,0.147%
Ragonvalia,9,0.359%,3,0.12%,6,0.239%
Salazar,3,0.083%,1,0.028%,2,0.055%
San Calixto,7,0.327%,3,0.14%,4,0.187%
San Cayetano,"1,631",0.963%,397,0.235%,"1,234",0.728%
San José De Cúcuta,0,0%,0,0%,0,0%
Santiago,52,0.721%,16,0.222%,36,0.499%
Sardinata,1,0.059%,0,0%,1,0.059%
Silos,14,0.313%,2,0.045%,12,0.268%
Teorama,164,0.693%,40,0.169%,124,0.524%
Tibú,20,0.467%,5,0.117%,15,0.35%
Toledo,2,0.135%,2,0.135%,0,0%
Villa Caro,115,0.435%,27,0.102%,88,0.333%
Villa Del Rosario,44,0.471%,11,0.118%,33,0.353%
