Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Colón,11,0.733%,4,0.267%,7,0.466%
Mocoa,116,0.827%,38,0.271%,78,0.556%
Orito,55,0.549%,9,0.09%,46,0.459%
Puerto Asís,197,1.045%,54,0.287%,143,0.758%
Puerto Caicedo,23,0.684%,4,0.119%,19,0.565%
Puerto Guzmán,37,0.444%,7,0.084%,30,0.36%
Puerto Leguízamo,59,0.489%,16,0.133%,43,0.356%
San Francisco,5,0.329%,3,0.197%,2,0.132%
San Miguel,19,0.406%,5,0.107%,14,0.299%
Santiago,8,0.372%,1,0.047%,7,0.325%
Sibundoy,20,0.506%,5,0.127%,15,0.379%
Valle Del Guamuez,61,0.784%,10,0.129%,51,0.655%
Villagarzón,50,0.613%,11,0.135%,39,0.478%
