Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Apía,13,0.571%,5,0.22%,8,0.351%
Balboa,4,0.382%,0,0%,4,0.382%
Belén De Umbría,33,0.682%,14,0.289%,19,0.393%
Dosquebradas,259,0.624%,72,0.174%,187,0.45%
Guática,10,0.37%,3,0.111%,7,0.259%
La Celia,15,1.215%,8,0.648%,7,0.567%
La Virginia,52,0.956%,14,0.258%,38,0.698%
Marsella,12,0.372%,1,0.031%,11,0.341%
Mistrató,19,0.269%,4,0.057%,15,0.212%
Pereira,708,0.868%,145,0.178%,563,0.69%
Pueblo Rico,39,0.561%,12,0.173%,27,0.388%
Quinchía,27,0.429%,4,0.064%,23,0.365%
Santa Rosa De Cabal,83,0.542%,23,0.15%,60,0.392%
Santuario,18,0.687%,3,0.115%,15,0.572%
