Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Buenavista,18,0.556%,8,0.247%,10,0.309%
Caimito,9,0.196%,2,0.044%,7,0.152%
Chalán,5,0.375%,0,0%,5,0.375%
Colosó,5,0.197%,0,0%,5,0.197%
Corozal,85,0.439%,22,0.114%,63,0.325%
Coveñas,31,0.618%,8,0.16%,23,0.458%
El Roble,7,0.221%,3,0.095%,4,0.126%
Galeras,23,0.334%,6,0.087%,17,0.247%
Guaranda,20,0.356%,9,0.16%,11,0.196%
La Unión,7,0.198%,2,0.057%,5,0.141%
Los Palmitos,25,0.369%,9,0.133%,16,0.236%
Majagual,42,0.38%,15,0.136%,27,0.244%
Morroa,11,0.241%,0,0%,11,0.241%
Ovejas,34,0.505%,10,0.149%,24,0.356%
Palmito,20,0.452%,6,0.136%,14,0.316%
Sampués,63,0.417%,17,0.113%,46,0.304%
San Benito Abad,24,0.27%,6,0.068%,18,0.202%
San José De Toluviejo,36,0.576%,7,0.112%,29,0.464%
San Juan De Betulia,8,0.213%,1,0.027%,7,0.186%
San Luis De Sincé,42,0.494%,13,0.153%,29,0.341%
San Marcos,90,0.492%,28,0.153%,62,0.339%
San Onofre,89,0.5%,16,0.09%,73,0.41%
San Pedro,33,0.589%,7,0.125%,26,0.464%
Santiago De Tolú,42,0.385%,9,0.083%,33,0.302%
Sincelejo,552,0.681%,146,0.18%,406,0.501%
Sucre,18,0.224%,7,0.087%,11,0.137%
