Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Alpujarra,3,0.338%,1,0.113%,2,0.225%
Alvarado,3,0.198%,2,0.132%,1,0.066%
Ambalema,7,0.471%,0,0%,7,0.471%
Anzoátegui,9,0.398%,1,0.045%,8,0.353%
Armero,18,0.698%,5,0.194%,13,0.504%
Ataco,22,0.338%,5,0.077%,17,0.261%
Cajamarca,27,0.591%,10,0.219%,17,0.372%
Carmen De Apicalá,17,0.705%,3,0.125%,14,0.58%
Casabianca,4,0.276%,0,0%,4,0.276%
Chaparral,101,0.78%,23,0.178%,78,0.602%
Coello,9,0.522%,2,0.116%,7,0.406%
Coyaima,49,1.026%,11,0.231%,38,0.795%
Cunday,21,1.029%,6,0.294%,15,0.735%
Dolores,13,0.648%,3,0.15%,10,0.498%
Espinal,181,1.212%,54,0.362%,127,0.85%
Falan,9,0.563%,2,0.125%,7,0.438%
Flandes,51,0.755%,8,0.119%,43,0.636%
Fresno,42,0.558%,12,0.16%,30,0.398%
Guamo,55,0.767%,11,0.154%,44,0.613%
Herveo,4,0.273%,0,0%,4,0.273%
Honda,50,0.982%,12,0.236%,38,0.746%
Ibagué,741,0.671%,182,0.165%,559,0.506%
Icononzo,10,0.4%,2,0.08%,8,0.32%
Lérida,27,0.66%,6,0.147%,21,0.513%
Líbano,87,1.165%,15,0.201%,72,0.964%
Melgar,61,0.692%,15,0.17%,46,0.522%
Murillo,0,0%,0,0%,0,0%
Natagaima,32,1.088%,5,0.17%,27,0.918%
Ortega,40,0.452%,10,0.113%,30,0.339%
Palocabildo,10,0.373%,3,0.112%,7,0.261%
Piedras,4,0.313%,0,0%,4,0.313%
Planadas,47,0.649%,16,0.221%,31,0.428%
Prado,17,0.818%,9,0.433%,8,0.385%
Purificación,28,0.513%,4,0.074%,24,0.439%
Rioblanco,31,0.472%,8,0.122%,23,0.35%
Roncesvalles,5,0.322%,2,0.129%,3,0.193%
Rovira,49,0.804%,15,0.246%,34,0.558%
Saldaña,22,0.608%,4,0.111%,18,0.497%
San Antonio,29,0.869%,10,0.3%,19,0.569%
San Luis,15,0.527%,5,0.176%,10,0.351%
San Sebastián De Mariquita,78,0.885%,16,0.182%,62,0.703%
Santa Isabel,7,0.5%,1,0.072%,6,0.428%
Suárez,1,0.15%,0,0%,1,0.15%
Valle De San Juan,1,0.099%,0,0%,1,0.099%
Venadillo,18,0.68%,3,0.114%,15,0.566%
Villahermosa,15,0.666%,5,0.222%,10,0.444%
Villarrica,8,0.65%,2,0.163%,6,0.487%
