Municipality,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Alcalá,34,1.198%,8,0.282%,26,0.916%
Andalucía,34,0.866%,7,0.179%,27,0.687%
Ansermanuevo,35,0.969%,7,0.194%,28,0.775%
Argelia,6,0.51%,2,0.17%,4,0.34%
Bolívar,14,0.398%,2,0.057%,12,0.341%
Buenaventura,634,0.808%,145,0.185%,489,0.623%
Bugalagrande,35,0.717%,6,0.123%,29,0.594%
Caicedonia,33,0.626%,8,0.152%,25,0.474%
Cali,"3,527",1.071%,800,0.243%,"2,727",0.828%
Calima,22,0.604%,3,0.083%,19,0.521%
Candelaria,123,0.571%,25,0.116%,98,0.455%
Cartago,240,1.015%,56,0.237%,184,0.778%
Dagua,52,0.533%,14,0.144%,38,0.389%
El Águila,7,0.594%,1,0.085%,6,0.509%
El Cairo,57,0.468%,12,0.099%,45,0.369%
El Cerrito,25,1.073%,8,0.344%,17,0.729%
El Dovio,14,0.802%,3,0.172%,11,0.63%
Florida,93,0.726%,37,0.289%,56,0.437%
Ginebra,15,0.353%,3,0.071%,12,0.282%
Guacarí,49,0.657%,19,0.255%,30,0.402%
Guadalajara De Buga,184,0.74%,47,0.189%,137,0.551%
Jamundí,198,0.615%,45,0.14%,153,0.475%
La Cumbre,11,0.428%,3,0.117%,8,0.311%
La Unión,64,0.997%,17,0.265%,47,0.732%
La Victoria,20,1.013%,3,0.152%,17,0.861%
Obando,15,0.684%,1,0.046%,14,0.638%
Palmira,467,0.73%,120,0.188%,347,0.542%
Pradera,72,0.689%,13,0.125%,59,0.564%
Restrepo,26,0.952%,5,0.183%,21,0.769%
Riofrío,31,0.982%,7,0.222%,24,0.76%
Roldanillo,51,0.784%,11,0.169%,40,0.615%
San Pedro,21,0.59%,5,0.141%,16,0.449%
Sevilla,67,0.924%,16,0.221%,51,0.703%
Toro,31,1.154%,4,0.149%,27,1.005%
Trujillo,26,0.633%,4,0.098%,22,0.535%
Tuluá,434,1.042%,102,0.245%,332,0.797%
Ulloa,8,0.734%,1,0.092%,7,0.642%
Versalles,8,0.611%,0,0%,8,0.611%
Vijes,8,0.323%,2,0.081%,6,0.242%
Yotoco,24,0.695%,6,0.174%,18,0.521%
Yumbo,165,0.759%,41,0.189%,124,0.57%
Zarzal,58,0.648%,14,0.157%,44,0.491%
