Country,Region,Department,Prevalence count for Both in 2021,Prevalence rate (% of children aged 0-17 years) for Both in 2021,Incidence count for Both in 2021,Inicidence rate (% of children aged 0-17 years) for Both in 2021,Prevalence count for Mothers in 2021,Prevalence rate (% of children aged 0-17 years) for Mothers in 2021,Incidence count for Mothers in 2021,Inicidence rate (% of children aged 0-17 years) for Mothers in 2021,Prevalence count for Fathers in 2021,Prevalence rate (% of children aged 0-17 years) for Fathers in 2021,Incidence count for Fathers in 2021,Inicidence rate (% of children aged 0-17 years) for Fathers in 2021
Colombia,,,"438,593",3.802%,"69,390",0.601%,"106,194",0.921%,"17,796",0.154%,"332,399",2.881%,"51,594",0.447%
,Amazonía,,"13,705",4.336%,"1,881",0.594%,"3,356",1.062%,500,0.158%,"10,349",3.274%,"1,381",0.436%
,,Caquetá,"6,369",5.321%,782,0.653%,"1,472",1.228%,198,0.165%,"4,897",4.093%,584,0.488%
,,Putumayo,"4,090",4.238%,641,0.663%,990,1.026%,162,0.167%,"3,100",3.212%,479,0.496%
,,Amazonas,814,2.707%,188,0.625%,162,0.537%,58,0.193%,652,2.17%,130,0.432%
,,Guainía,68,0.291%,52,0.221%,32,0.137%,24,0.102%,36,0.154%,28,0.119%
,,Guaviare,"1,002",3.871%,151,0.582%,125,0.483%,37,0.142%,877,3.388%,114,0.44%
,,Vaupés,126,0.612%,52,0.252%,38,0.184%,19,0.092%,88,0.428%,33,0.16%
,Caribe,,"99,003",3.075%,"17,529",0.543%,"26,431",0.82%,"4,819",0.149%,"72,572",2.255%,"12,710",0.394%
,,Atlántico,"24,299",3.636%,"4,667",0.697%,"6,446",0.965%,"1,265",0.189%,"17,853",2.671%,"3,402",0.508%
,,Bolívar,"16,918",2.827%,"2,883",0.48%,"4,614",0.771%,784,0.13%,"12,304",2.056%,"2,099",0.35%
,,Cesar,"13,540",3.42%,"2,362",0.596%,"3,486",0.881%,643,0.162%,"10,054",2.539%,"1,719",0.434%
,,Córdoba,"18,534",2.529%,"3,501",0.476%,"4,906",0.669%,953,0.129%,"13,628",1.86%,"2,548",0.347%
,,La Guajira,"7,350",2.072%,"1,442",0.406%,"2,096",0.591%,456,0.128%,"5,254",1.481%,986,0.278%
,,Magdalena,"13,771",3.208%,"2,474",0.575%,"3,764",0.876%,703,0.163%,"10,007",2.332%,"1,771",0.412%
,,Sucre,"7,787",2.84%,"1,327",0.483%,"2,133",0.778%,355,0.129%,"5,654",2.062%,972,0.354%
,,"Archipelago de San Andrés, Providencia y Santa Catalina",370,3.442%,109,1.013%,19,0.177%,31,0.288%,351,3.265%,78,0.725%
,Central,,"142,023",3.57%,"24,200",0.607%,"36,064",0.907%,"6,243",0.156%,"105,959",2.663%,"17,957",0.451%
,,Bogotá,"52,571",3.559%,"9,004",0.608%,"13,904",0.942%,"2,362",0.159%,"38,667",2.617%,"6,642",0.449%
,,Boyacá,"9,774",3.472%,"1,571",0.557%,"2,400",0.851%,385,0.136%,"7,374",2.621%,"1,186",0.421%
,,Cundinamarca,"14,477",2.971%,"2,290",0.469%,"3,707",0.761%,600,0.123%,"10,770",2.21%,"1,690",0.346%
,,Huila,"13,457",4.637%,"2,099",0.723%,"3,395",1.171%,569,0.196%,"10,062",3.466%,"1,530",0.527%
,,Norte de Santander,"16,934",4.285%,"2,662",0.672%,"3,680",0.931%,646,0.163%,"13,254",3.354%,"2,016",0.509%
,,Santander,"18,223",3.631%,"3,515",0.7%,"4,559",0.907%,869,0.173%,"13,664",2.724%,"2,646",0.527%
,,Tolima,"14,431",4.828%,"2,098",0.701%,"3,420",1.144%,516,0.172%,"11,011",3.684%,"1,582",0.529%
,Eje cafetero y Antioquia,,"80,578",4.387%,"11,510",0.626%,"17,462",0.951%,"2,803",0.152%,"63,116",3.436%,"8,707",0.474%
,,Antioquia,"57,676",4.259%,"8,422",0.621%,"12,336",0.911%,"2,062",0.152%,"45,340",3.348%,"6,360",0.469%
,,Caldas,"7,689",3.895%,"1,075",0.543%,"1,726",0.875%,250,0.126%,"5,963",3.02%,825,0.417%
,,Quindío,"5,184",5.077%,726,0.711%,"1,115",1.092%,181,0.177%,"4,069",3.985%,545,0.534%
,,Risaralda,"9,655",5.295%,"1,301",0.712%,"2,165",1.189%,309,0.169%,"7,490",4.106%,992,0.543%
,Llanos,,"22,346",4.231%,"3,438",0.65%,"5,610",1.061%,926,0.175%,"16,736",3.17%,"2,512",0.475%
,,Meta,"12,639",4.518%,"1,891",0.675%,"3,199",1.146%,527,0.188%,"9,440",3.372%,"1,364",0.487%
,,Arauca,"4,629",5.342%,584,0.673%,"1,098",1.268%,139,0.16%,"3,531",4.074%,445,0.513%
,,Casanare,"4,420",3.583%,876,0.709%,"1,157",0.936%,221,0.179%,"3,263",2.647%,655,0.53%
,,Vichada,239,0.63%,90,0.237%,32,0.085%,32,0.084%,207,0.545%,58,0.153%
,Pacífica,,"79,796",4.817%,"11,073",0.667%,"17,534",1.058%,"2,661",0.16%,"62,262",3.759%,"8,412",0.507%
,,Cauca,"12,021",3.386%,"1,704",0.479%,"2,743",0.773%,387,0.109%,"9,278",2.613%,"1,317",0.37%
,,Chocó,"3,266",1.717%,563,0.295%,922,0.485%,176,0.092%,"2,344",1.232%,387,0.203%
,,Nariño,"12,402",3.848%,"1,805",0.559%,"3,002",0.931%,463,0.143%,"9,400",2.917%,"1,342",0.416%
,,Valle del Cauca,"51,872",6.567%,"7,024",0.888%,"10,742",1.359%,"1,634",0.206%,"41,130",5.208%,"5,390",0.682%
